state_abv,county,county_fips,family,total_budget_avg,asian_hourly,white_hourly,black_hourly,hispanic_hourly,less_than_hs,high_school,associates_degree,bachelors_degree,advanced_degree,men_median,women_median
AK,Fairbanks North Star Borough,2090,2p4c,160548.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Haines Borough,2100,1p0c,48888.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Haines Borough,2100,1p1c,78780.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Haines Borough,2100,1p2c,101364.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Haines Borough,2100,1p3c,125268.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Haines Borough,2100,1p4c,138972.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Haines Borough,2100,2p0c,66888.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Haines Borough,2100,2p1c,92688.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Haines Borough,2100,2p2c,112548.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Haines Borough,2100,2p3c,135180.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Haines Borough,2100,2p4c,148680.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Hoonah-Angoon Census Area,2105,1p0c,49956.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Hoonah-Angoon Census Area,2105,1p1c,79032.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Hoonah-Angoon Census Area,2105,1p2c,101244.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Hoonah-Angoon Census Area,2105,1p3c,123312.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
