state_abv,county,family,total_budget_avg,asian_hourly,white_hourly,black_hourly,hispanic_hourly
AK,Southeast Fairbanks Census Area,1p3c,126240.0,29.87,25.97,20.11,19.93
AK,Southeast Fairbanks Census Area,1p4c,140568.0,29.87,25.97,20.11,19.93
AK,Southeast Fairbanks Census Area,2p0c,69648.0,29.87,25.97,20.11,19.93
AK,Southeast Fairbanks Census Area,2p1c,93828.0,29.87,25.97,20.11,19.93
AK,Southeast Fairbanks Census Area,2p2c,113616.0,29.87,25.97,20.11,19.93
AK,Southeast Fairbanks Census Area,2p3c,137244.0,29.87,25.97,20.11,19.93
AK,Southeast Fairbanks Census Area,2p4c,151260.0,29.87,25.97,20.11,19.93
AK,Wrangell City and Borough,1p0c,44712.0,29.87,25.97,20.11,19.93
AK,Wrangell City and Borough,1p1c,72180.0,29.87,25.97,20.11,19.93
AK,Wrangell City and Borough,1p2c,93804.0,29.87,25.97,20.11,19.93
AK,Wrangell City and Borough,1p3c,118272.0,29.87,25.97,20.11,19.93
AK,Wrangell City and Borough,1p4c,132360.0,29.87,25.97,20.11,19.93
AK,Wrangell City and Borough,2p0c,63408.0,29.87,25.97,20.11,19.93
AK,Wrangell City and Borough,2p1c,87000.0,29.87,25.97,20.11,19.93
AK,Wrangell City and Borough,2p2c,105720.0,29.87,25.97,20.11,19.93
AK,Wrangell City and Borough,2p3c,128640.0,29.87,25.97,20.11,19.93
AK,Wrangell City and Borough,2p4c,142440.0,29.87,25.97,20.11,19.93
AK,Yakutat City and Borough,1p0c,58296.0,29.87,25.97,20.11,19.93
AK,Yakutat City and Borough,1p1c,90888.0,29.87,25.97,20.11,19.93
AK,Yakutat City and Borough,1p2c,116148.0,29.87,25.97,20.11,19.93
AK,Yakutat City and Borough,1p3c,139200.0,29.87,25.97,20.11,19.93
AK,Yakutat City and Borough,1p4c,154356.0,29.87,25.97,20.11,19.93
AK,Yakutat City and Borough,2p0c,78864.0,29.87,25.97,20.11,19.93
AK,Yakutat City and Borough,2p1c,106284.0,29.87,25.97,20.11,19.93
AK,Yakutat City and Borough,2p2c,128340.0,29.87,25.97,20.11,19.93
AK,Yakutat City and Borough,2p3c,150960.0,29.87,25.97,20.11,19.93
AK,Yakutat City and Borough,2p4c,165612.0,29.87,25.97,20.11,19.93
AK,Yukon-Koyukuk Census Area,1p0c,44088.0,29.87,25.97,20.11,19.93
AK,Yukon-Koyukuk Census Area,1p1c,65016.0,29.87,25.97,20.11,19.93
AK,Yukon-Koyukuk Census Area,1p2c,84804.0,29.87,25.97,20.11,19.93
AK,Yukon-Koyukuk Census Area,1p3c,108048.0,29.87,25.97,20.11,19.93
AK,Yukon-Koyukuk Census Area,1p4c,121308.0,29.87,25.97,20.11,19.93
AK,Yukon-Koyukuk Census Area,2p0c,59088.0,29.87,25.97,20.11,19.93
AK,Yukon-Koyukuk Census Area,2p1c,79080.0,29.87,25.97,20.11,19.93
AK,Yukon-Koyukuk Census Area,2p2c,96864.0,29.87,25.97,20.11,19.93
AK,Yukon-Koyukuk Census Area,2p3c,118056.0,29.87,25.97,20.11,19.93
AK,Yukon-Koyukuk Census Area,2p4c,131496.0,29.87,25.97,20.11,19.93
AL,Autauga County,1p0c,45636.0,29.87,25.97,20.11,19.93
AL,Autauga County,1p1c,66960.0,29.87,25.97,20.11,19.93
AL,Autauga County,1p2c,84252.0,29.87,25.97,20.11,19.93
AL,Autauga County,1p3c,102492.0,29.87,25.97,20.11,19.93
AL,Autauga County,1p4c,112704.0,29.87,25.97,20.11,19.93
AL,Autauga County,2p0c,62520.0,29.87,25.97,20.11,19.93
AL,Autauga County,2p1c,81336.0,29.87,25.97,20.11,19.93
AL,Autauga County,2p2c,95520.0,29.87,25.97,20.11,19.93
AL,Autauga County,2p3c,111708.0,29.87,25.97,20.11,19.93
AL,Autauga County,2p4c,122292.0,29.87,25.97,20.11,19.93
AL,Baldwin County,1p0c,48300.0,29.87,25.97,20.11,19.93
AL,Baldwin County,1p1c,71304.0,29.87,25.97,20.11,19.93
AL,Baldwin County,1p2c,89448.0,29.87,25.97,20.11,19.93
AL,Baldwin County,1p3c,109224.0,29.87,25.97,20.11,19.93
AL,Baldwin County,1p4c,119784.0,29.87,25.97,20.11,19.93
AL,Baldwin County,2p0c,64248.0,29.87,25.97,20.11,19.93
AL,Baldwin County,2p1c,85032.0,29.87,25.97,20.11,19.93
AL,Baldwin County,2p2c,100488.0,29.87,25.97,20.11,19.93
AL,Baldwin County,2p3c,118284.0,29.87,25.97,20.11,19.93
AL,Baldwin County,2p4c,129408.0,29.87,25.97,20.11,19.93
AL,Barbour County,1p0c,38820.0,29.87,25.97,20.11,19.93
AL,Barbour County,1p1c,55104.0,29.87,25.97,20.11,19.93
AL,Barbour County,1p2c,68016.0,29.87,25.97,20.11,19.93
AL,Barbour County,1p3c,82284.0,29.87,25.97,20.11,19.93
AL,Barbour County,1p4c,91836.0,29.87,25.97,20.11,19.93
AL,Barbour County,2p0c,52236.0,29.87,25.97,20.11,19.93
AL,Barbour County,2p1c,67620.0,29.87,25.97,20.11,19.93
AL,Barbour County,2p2c,79404.0,29.87,25.97,20.11,19.93
AL,Barbour County,2p3c,91884.0,29.87,25.97,20.11,19.93
AL,Barbour County,2p4c,102492.0,29.87,25.97,20.11,19.93
AL,Bibb County,1p0c,42828.0,29.87,25.97,20.11,19.93
AL,Bibb County,1p1c,62472.0,29.87,25.97,20.11,19.93
AL,Bibb County,1p2c,78768.0,29.87,25.97,20.11,19.93
AL,Bibb County,1p3c,95040.0,29.87,25.97,20.11,19.93
AL,Bibb County,1p4c,104892.0,29.87,25.97,20.11,19.93
AL,Bibb County,2p0c,59448.0,29.87,25.97,20.11,19.93
AL,Bibb County,2p1c,75660.0,29.87,25.97,20.11,19.93
AL,Bibb County,2p2c,90084.0,29.87,25.97,20.11,19.93
AL,Bibb County,2p3c,104196.0,29.87,25.97,20.11,19.93
AL,Bibb County,2p4c,114312.0,29.87,25.97,20.11,19.93
AL,Blount County,1p0c,41436.0,29.87,25.97,20.11,19.93
AL,Blount County,1p1c,65280.0,29.87,25.97,20.11,19.93
AL,Blount County,1p2c,83832.0,29.87,25.97,20.11,19.93
AL,Blount County,1p3c,100524.0,29.87,25.97,20.11,19.93
AL,Blount County,1p4c,110400.0,29.87,25.97,20.11,19.93
AL,Blount County,2p0c,58020.0,29.87,25.97,20.11,19.93
AL,Blount County,2p1c,78480.0,29.87,25.97,20.11,19.93
AL,Blount County,2p2c,94812.0,29.87,25.97,20.11,19.93
AL,Blount County,2p3c,109464.0,29.87,25.97,20.11,19.93
